,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
900,191937,0.836,0.743,10,-6.305,0,0.0653,0.0974,0,0.335,0.723,108.965,191938,4
901,187107,0.721,0.769,7,-4.111,1,0.105,0.0922,0,0.0817,0.915,155.932,187108,4
902,159735,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159736,4
903,173325,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
904,195144,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,195145,4
905,143833,0.861,0.611,1,-7.891,1,0.0427,0.0764,0,0.0763,0.803,114.995,143833,4
906,159011,0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011,4
907,172630,0.892,0.588,1,-4.287,0,0.11,0.00319,0.000162,0.0498,0.753,120.042,172630,4
908,172832,0.827,0.731,4,-5.524,0,0.088,0.13,0,0.418,0.607,118.992,172833,4
909,218476,0.8,0.771,10,-6.638,0,0.123,0.0531,0,0.229,0.886,118.991,218476,4
910,244960,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4
911,201660,0.752,0.488,6,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,201661,4
912,170769,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
913,268866,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
914,229773,0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,229773,4
915,101789,0.626,0.423,1,-6.035,1,0.0513,0.128,0,0.18,0.571,95.162,101790,4
916,181279,0.675,0.751,0,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384,181279,4
917,172761,0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.995,172762,4
918,148732,0.552,0.662,6,-6.225,0,0.0548,0.0000918,0,0.143,0.572,79.973,148732,4
919,199593,0.731,0.58,10,-7.328,0,0.0399,0.223,0,0.129,0.319,119.997,199593,4
920,190185,0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,84.878,190185,4
921,258969,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,258969,4
922,193058,0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,193059,4
923,277506,0.562,0.437,0,-10.229,1,0.052,0.219,0.0000218,0.0806,0.15,124.852,277506,4
924,234652,0.594,0.721,2,-7.812,1,0.0957,0.0209,0.00000855,0.0879,0.253,128.942,234653,4
925,171727,0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,171728,4
926,246755,0.733,0.62,1,-10.525,1,0.075,0.606,0.305,0.117,0.247,111.039,246755,4
927,221874,0.622,0.58,1,-5.273,0,0.0504,0.00241,0.0000295,0.112,0.512,104.41,221874,4
928,155586,0.575,0.571,11,-9.291,0,0.101,0.597,0.000159,0.108,0.0614,110.993,155587,4
929,198907,0.764,0.567,0,-8.585,1,0.0609,0.0126,0.0000951,0.257,0.428,89.988,198907,4
930,190799,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
931,190799,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
932,190799,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
933,190799,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
934,219742,0.377,0.651,4,-5.437,0,0.0589,0.0197,0.0000531,0.174,0.0851,129.607,219742,4
935,206070,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,206071,4
936,217306,0.765,0.523,2,-4.333,1,0.03,0.184,0.0000356,0.132,0.394,104.988,217307,4
937,116293,0.456,0.459,4,-8.16,0,0.0811,0.475,0,0.0861,0.211,116.049,116293,4
938,170746,0.724,0.491,8,-6.024,1,0.0296,0.018,0.0000129,0.0887,0.383,105.046,170746,4
939,223853,0.687,0.761,9,-4.582,0,0.0876,0.102,0,0.147,0.743,113.939,223853,4
940,223853,0.687,0.761,9,-4.582,0,0.0876,0.102,0,0.147,0.743,113.939,223853,4
941,223853,0.687,0.761,9,-4.582,0,0.0876,0.102,0,0.147,0.743,113.939,223853,4
942,223853,0.687,0.761,9,-4.582,0,0.0876,0.102,0,0.147,0.743,113.939,223853,4
943,226973,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,4
944,204466,0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989,204467,4
945,164842,0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,164842,4
946,199440,0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,199440,4
947,187973,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973,4
948,206880,0.752,0.754,1,-6.684,1,0.0615,0.0151,0,0.0486,0.755,149.789,206880,4
949,208733,0.555,0.662,11,-4.952,0,0.0827,0.125,0,0.111,0.356,148.128,208733,4
950,172692,0.442,0.631,1,-5.096,0,0.05,0.136,0.0000229,0.133,0.129,139.774,172693,4
951,191466,0.691,0.823,2,-4.197,1,0.0623,0.487,0,0.134,0.87,123.935,191467,4
952,172266,0.603,0.691,5,-5.805,1,0.0372,0.0248,0,0.583,0.577,147.148,172267,4
953,211360,0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,211360,4
954,154983,0.721,0.738,7,-4.77,1,0.0403,0.00226,0.00000441,0.118,0.637,119.976,154983,4
955,181026,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181027,4
956,145440,0.719,0.756,10,-4.385,1,0.0356,0.0272,0,0.191,0.863,126.011,145441,4
957,145065,0.776,0.92,5,-3.246,0,0.0548,0.0103,0,0.325,0.842,119.989,145066,4
958,149284,0.754,0.816,3,-5.189,1,0.0584,0.208,0,0.0491,0.653,126.082,149284,4
959,180644,0.852,0.698,9,-7.206,1,0.0629,0.00839,0.00000103,0.0773,0.324,113.039,180645,4
960,175093,0.667,0.954,2,-3.462,1,0.0817,0.0296,0,0.331,0.807,114.03,175093,4
961,200880,0.725,0.571,1,-6.007,1,0.102,0.0183,0,0.0519,0.61,146.035,200880,4
962,183000,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,4
963,201813,0.622,0.919,11,-4.088,1,0.0651,0.0163,0.00000687,0.523,0.81,107.06,201813,4
964,189960,0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,189960,4
965,231386,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,231387,4
966,201160,0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,201160,4
967,189486,0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,189486,4
968,206200,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,206200,4
969,259453,0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102,259453,4
970,231013,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013,4
971,235493,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,235493,4
972,219466,0.718,0.82,5,-3.453,0,0.0323,0.0444,0,0.0846,0.613,92.998,219467,4
973,227395,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,227395,4
974,227320,0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,227320,4
975,208330,0.703,0.736,4,-5.709,0,0.046,0.186,0.0000192,0.174,0.274,119.955,208330,4
